Raw data																																															Well positions	
0s	1800s	3600s	5400s	7200s	9000s	10800s	12600s	14400s	16200s	18000s	19800s	21600s	23400s	25200s	27000s	28800s	30600s	32400s	34200s	36000s	37800s	39600s	41400s	43200s	45000s	46800s	48600s	50400s	52200s	54000s	55800s	57599s	59400s	61199s	62999s	64799s	66599s	68399s	70199s	71999s	73799s	75599s	77399s	79199s	80999s	82799s		
30.0 °C	30.1 °C	30.2 °C	30.2 °C	30.2 °C	30.1 °C	30.2 °C	30.0 °C	30.0 °C	30.2 °C	30.0 °C	30.0 °C	30.2 °C	30.0 °C	30.1 °C	30.1 °C	30.1 °C	30.0 °C	30.0 °C	30.1 °C	30.1 °C	30.0 °C	29.9 °C	30.1 °C	30.1 °C	30.0 °C	30.2 °C	30.4 °C	30.2 °C	30.1 °C	30.1 °C	30.1 °C	30.2 °C	30.0 °C	30.0 °C	30.0 °C	30.2 °C	30.1 °C	30.1 °C	30.0 °C	30.0 °C	30.1 °C	30.4 °C	30.1 °C	30.2 °C	30.1 °C	30.1 °C		
0.29008	0.28926	0.28564	0.28686	0.2855	0.28582	0.28594	0.2839	0.28258	0.28318	0.28378	0.2818	0.28418	0.2861	0.28568	0.28586	0.29064	0.29076	0.29328	0.29732	0.30444	0.31072	0.3214	0.33402	0.34474	0.36818	0.398	0.42902	0.46072	0.488	0.50044	0.50148	0.51062	0.52416	0.5373	0.54882	0.5566	0.56028	0.56264	0.5687	0.5779	0.58442	0.59354	0.59536	0.60966	0.62044	0.62452	A12	
0.23648	0.23696	0.23548	0.23856	0.23596	0.23698	0.23646	0.23574	0.23612	0.23554	0.2365	0.23696	0.23546	0.2349	0.23712	0.23638	0.23662	0.23636	0.23514	0.23592	0.23698	0.2376	0.2365	0.23808	0.23488	0.23296	0.23244	0.22972	0.22816	0.22888	0.2275	0.22672	0.22514	0.22476	0.22344	0.22516	0.2228	0.2237	0.22344	0.22192	0.22272	0.22362	0.226	0.22614	0.22568	0.22612	0.22646	B1	
0.26602	0.26642	0.26494	0.26532	0.26388	0.26492	0.26364	0.2647	0.26342	0.26306	0.26352	0.26352	0.26478	0.26514	0.26768	0.26758	0.26832	0.2726	0.27412	0.27668	0.28578	0.29088	0.29456	0.30368	0.31334	0.3411	0.37306	0.39186	0.38784	0.44436	0.47128	0.50586	0.54702	0.58632	0.62584	0.6604	0.68658	0.70862	0.72232	0.72984	0.75876	0.76382	0.77718	0.78958	0.80432	0.81994	0.8351	B2	
0.26782	0.26676	0.26612	0.26708	0.26434	0.26674	0.26574	0.26546	0.26506	0.26708	0.27032	0.26976	0.27346	0.27502	0.2795	0.28506	0.29286	0.30914	0.3174	0.32948	0.35872	0.37606	0.40598	0.43978	0.47994	0.52328	0.56802	0.61464	0.63882	0.64278	0.6445	0.64698	0.65056	0.65726	0.66944	0.68084	0.69042	0.70092	0.70976	0.71818	0.7256	0.73722	0.74506	0.75284	0.77096	0.78936	0.79822	B3	
0.25184	0.24992	0.251	0.2515	0.25066	0.2514	0.25168	0.25158	0.25072	0.2509	0.25178	0.25252	0.25388	0.25318	0.25344	0.25388	0.25914	0.26078	0.26456	0.26454	0.26938	0.26744	0.26864	0.2704	0.28114	0.29878	0.28346	0.3036	0.3172	0.33522	0.35928	0.39262	0.42996	0.46946	0.51764	0.5473	0.57646	0.60132	0.61522	0.64068	0.66226	0.67632	0.70004	0.71398	0.73554	0.75516	0.77028	B4	
0.25984	0.25938	0.25678	0.2619	0.25626	0.25936	0.25714	0.25824	0.25922	0.25882	0.25886	0.26158	0.26346	0.26238	0.2665	0.2721	0.27726	0.28434	0.29132	0.29948	0.32676	0.34382	0.36092	0.3817	0.42158	0.4428	0.44902	0.45554	0.4763	0.49718	0.5108	0.53318	0.54374	0.54922	0.56212	0.58118	0.59516	0.6022	0.60678	0.62092	0.62998	0.64054	0.6459	0.65014	0.66398	0.67308	0.67468	B5	
0.2534	0.25012	0.25	0.24958	0.24892	0.24854	0.24772	0.24844	0.24866	0.249	0.24772	0.24786	0.25318	0.25338	0.25674	0.25722	0.25994	0.26706	0.27016	0.2751	0.2809	0.28624	0.29584	0.31228	0.31658	0.3456	0.3684	0.40156	0.42856	0.46176	0.49892	0.53446	0.57406	0.60138	0.61388	0.64096	0.66494	0.68874	0.70544	0.71772	0.7306	0.73312	0.74288	0.7484	0.76198	0.7683	0.77416	B6	
0.25098	0.24906	0.24938	0.2489	0.24876	0.24848	0.24896	0.24948	0.25066	0.2515	0.25358	0.25472	0.25958	0.26106	0.26628	0.2728	0.2844	0.29326	0.30566	0.3269	0.34896	0.37778	0.40672	0.43074	0.44128	0.45904	0.47782	0.51262	0.54782	0.55594	0.56884	0.58452	0.59894	0.61164	0.63598	0.68262	0.71546	0.7377	0.75618	0.77424	0.78536	0.7975	0.80728	0.812	0.82082	0.82658	0.83124	B7	
0.29044	0.28672	0.28662	0.28856	0.28546	0.28762	0.28564	0.28386	0.2857	0.28622	0.28532	0.28512	0.28558	0.2845	0.28764	0.28666	0.28942	0.28962	0.2924	0.29148	0.2951	0.2971	0.30092	0.30582	0.3072	0.31094	0.31314	0.31748	0.31876	0.32616	0.32646	0.33356	0.33744	0.34344	0.35052	0.35872	0.35948	0.36666	0.3669	0.3696	0.37548	0.3779	0.37328	0.37512	0.37586	0.37832	0.37916	B8	
0.26664	0.26352	0.26216	0.26406	0.26246	0.26434	0.26198	0.26206	0.26184	0.2626	0.26164	0.26	0.26062	0.25952	0.2612	0.26154	0.26114	0.2609	0.26126	0.26108	0.2617	0.26084	0.26104	0.2607	0.25944	0.25784	0.25756	0.25884	0.25794	0.25834	0.25642	0.25842	0.25826	0.25776	0.25544	0.25684	0.2543	0.25676	0.25434	0.25398	0.25464	0.25512	0.25494	0.2556	0.25534	0.25434	0.25474	B9	
