Raw data																																															Well positions	
0s	1800s	3600s	5400s	7200s	9000s	10800s	12600s	14400s	16200s	18000s	19800s	21600s	23400s	25200s	27000s	28800s	30600s	32400s	34200s	36000s	37800s	39600s	41400s	43200s	45000s	46800s	48600s	50400s	52200s	54000s	55800s	57599s	59400s	61199s	62999s	64799s	66599s	68399s	70199s	71999s	73799s	75599s	77399s	79199s	80999s	82799s		
30.0 °C	30.1 °C	30.2 °C	30.2 °C	30.2 °C	30.1 °C	30.2 °C	30.0 °C	30.0 °C	30.2 °C	30.0 °C	30.0 °C	30.2 °C	30.0 °C	30.1 °C	30.1 °C	30.1 °C	30.0 °C	30.0 °C	30.1 °C	30.1 °C	30.0 °C	29.9 °C	30.1 °C	30.1 °C	30.0 °C	30.2 °C	30.4 °C	30.2 °C	30.1 °C	30.1 °C	30.1 °C	30.2 °C	30.0 °C	30.0 °C	30.0 °C	30.2 °C	30.1 °C	30.1 °C	30.0 °C	30.0 °C	30.1 °C	30.4 °C	30.1 °C	30.2 °C	30.1 °C	30.1 °C		
0.27018	0.26926	0.26642	0.26746	0.2657	0.26494	0.26654	0.26604	0.26572	0.26406	0.26482	0.2644	0.26386	0.26522	0.26656	0.2673	0.26982	0.26766	0.27014	0.27342	0.2771	0.27878	0.28472	0.28752	0.29224	0.30232	0.30642	0.31692	0.33574	0.33344	0.37028	0.39854	0.42474	0.45426	0.49602	0.51972	0.57604	0.60124	0.62316	0.64812	0.66286	0.68796	0.7099	0.73586	0.75724	0.7768	0.79542	D6	
0.28218	0.28144	0.28036	0.27974	0.2797	0.2796	0.28276	0.28184	0.2812	0.2841	0.2827	0.28608	0.28846	0.28902	0.29318	0.29886	0.30786	0.31418	0.32396	0.34046	0.36266	0.38132	0.40734	0.43512	0.4563	0.48004	0.4899	0.50664	0.52036	0.53308	0.54798	0.56096	0.5729	0.58604	0.59766	0.60584	0.61552	0.62818	0.6478	0.6707	0.69326	0.70686	0.72886	0.7423	0.7614	0.77354	0.78242	D7	
0.27782	0.2767	0.27738	0.2752	0.27404	0.27562	0.27666	0.27412	0.2729	0.27482	0.27366	0.27514	0.27582	0.2729	0.27514	0.2761	0.27772	0.27668	0.27946	0.27936	0.28318	0.28486	0.28614	0.28984	0.29162	0.2963	0.29986	0.30592	0.31078	0.3181	0.32282	0.32592	0.3253	0.3326	0.34048	0.3507	0.35638	0.35938	0.36406	0.36858	0.37188	0.37248	0.3769	0.3806	0.3796	0.38212	0.382	D8	
0.27064	0.26908	0.26876	0.26854	0.26688	0.26722	0.2664	0.26718	0.2675	0.266	0.26616	0.26538	0.2673	0.26476	0.26458	0.26426	0.26704	0.26546	0.26476	0.26468	0.26472	0.26396	0.26428	0.26328	0.26448	0.26278	0.26352	0.26282	0.26098	0.2611	0.26034	0.26074	0.26112	0.26014	0.2598	0.25984	0.25932	0.25928	0.25862	0.25824	0.25692	0.2574	0.25944	0.26008	0.2568	0.2595	0.25744	D9	
0.30728	0.30292	0.30654	0.30408	0.3022	0.30102	0.30296	0.30214	0.3019	0.30126	0.29966	0.29968	0.30016	0.3003	0.30056	0.29746	0.30128	0.29814	0.29698	0.2956	0.2965	0.29872	0.2959	0.29606	0.29614	0.29714	0.29544	0.29162	0.2939	0.29514	0.29484	0.29428	0.29416	0.29096	0.29038	0.29238	0.29114	0.28842	0.28878	0.28808	0.28924	0.28862	0.28736	0.2886	0.28776	0.2872	0.28672	D10	
0.29896	0.29314	0.2927	0.28664	0.2909	0.28888	0.28976	0.29024	0.29012	0.28896	0.28816	0.28948	0.2901	0.28778	0.28786	0.28646	0.29052	0.28582	0.28608	0.28482	0.28696	0.28746	0.28604	0.28388	0.2836	0.28356	0.2837	0.2817	0.28304	0.28398	0.28166	0.28274	0.27978	0.2813	0.27838	0.28012	0.28092	0.27826	0.2777	0.27936	0.27854	0.27676	0.27706	0.27758	0.2761	0.27714	0.27772	D11	
0.30496	0.30116	0.29764	0.29698	0.29684	0.29732	0.29702	0.29376	0.29446	0.29434	0.29406	0.29604	0.29332	0.29422	0.29494	0.29578	0.30044	0.30222	0.3049	0.30784	0.31426	0.32184	0.3311	0.3412	0.35716	0.37604	0.40548	0.4381	0.47986	0.49058	0.49294	0.50162	0.51312	0.52776	0.53976	0.55242	0.56346	0.57058	0.57668	0.58772	0.59758	0.60994	0.62228	0.62718	0.6416	0.65966	0.66464	D12	
0.2434	0.24292	0.24356	0.24418	0.24362	0.24342	0.24376	0.24522	0.24494	0.24424	0.24746	0.24882	0.24982	0.2525	0.26164	0.26512	0.2762	0.28438	0.29814	0.31574	0.33298	0.34638	0.3555	0.36494	0.37272	0.3836	0.39062	0.39914	0.4069	0.41716	0.4346	0.4494	0.45762	0.47178	0.492	0.51672	0.53534	0.5538	0.57346	0.59964	0.62326	0.6449	0.67132	0.69522	0.72818	0.76036		E1	
0.23976	0.23902	0.23948	0.23992	0.23818	0.23772	0.23996	0.23986	0.2409	0.24124	0.24096	0.244	0.24686	0.24994	0.25572	0.26044	0.2719	0.28182	0.2948	0.3097	0.34338	0.3722	0.42236	0.463	0.51442	0.5645	0.6089	0.65394	0.70722	0.78816	0.86336	0.91442	0.95904	0.99632	1.0285	1.049	1.0709	1.1111	1.1387	1.1574	1.1679	1.1781	1.1919	1.2062	1.2209	1.2358		E2	
0.25588	0.2556	0.25574	0.25436	0.25426	0.25402	0.25708	0.25684	0.25836	0.26198	0.26144	0.26642	0.27608	0.2856	0.30304	0.32162	0.35302	0.37742	0.40256	0.42024	0.43424	0.48454	0.52386	0.56228	0.6049	0.65516	0.69084	0.72802	0.75958	0.81362	0.88856	0.90854	0.93634	0.9667	0.99202	1.0015	1.0255	1.047	1.0612	1.0746	1.0648	1.0717	1.0782	1.0927	1.1058	1.1255		E3	
0.2767	0.27416	0.27826	0.27306	0.2723	0.27092	0.27386	0.27278	0.2738	0.2731	0.27302	0.27422	0.27546	0.2753	0.27612	0.27606	0.2833	0.28634	0.29008	0.28608	0.28878	0.29102	0.30026	0.28662	0.30278	0.33208	0.35266	0.38238	0.44648	0.4934	0.53252	0.57074	0.59988	0.6302	0.68162	0.72562	0.77588	0.84114	0.89474	0.9352	0.95614	0.97174	0.98792	0.99208	1.032	1.0498		E4	
0.26854	0.26754	0.26732	0.2663	0.26586	0.2663	0.26828	0.26832	0.26818	0.26888	0.27052	0.27414	0.27866	0.28506	0.29392	0.30294	0.31798	0.34014	0.35928	0.38682	0.4172	0.44296	0.46196	0.47208	0.48854	0.51082	0.54712	0.59164	0.64592	0.70832	0.73982	0.77582	0.80914	0.8468	0.88568	0.9271	0.95174	0.97146	1.0073	1.0303	1.0489	1.0651	1.0858	1.1016	1.1209	1.14		E5	
0.27088	0.26808	0.26894	0.2693	0.26526	0.2659	0.26818	0.26632	0.26836	0.26758	0.26754	0.27272	0.27474	0.27624	0.2806	0.286	0.29178	0.30524	0.31674	0.32618	0.33614	0.351	0.39104	0.41934	0.45014	0.48904	0.51588	0.53962	0.56296	0.5723	0.59412	0.61946	0.64676	0.67032	0.6961	0.71616	0.73762	0.76916	0.78412	0.80408	0.80778	0.82728	0.84754	0.85968	0.93358	0.96612		E6	
0.26822	0.26932	0.26894	0.26746	0.26744	0.26962	0.27142	0.27098	0.27456	0.27738	0.28144	0.28908	0.29726	0.3016	0.31352	0.32894	0.36038	0.39988	0.42828	0.45356	0.49058	0.51878	0.56332	0.63118	0.67628	0.72198	0.80384	0.86078	0.89952	0.8922	0.94106	0.96052	0.96708	0.98482	1.01	1.0353	1.0676	1.107	1.1326	1.1496	1.1479	1.1544	1.1555	1.1648	1.1871	1.1926		E7	
0.2859	0.28408	0.28442	0.28412	0.28232	0.28422	0.28476	0.28076	0.2839	0.28512	0.28388	0.28658	0.28728	0.29036	0.29384	0.2974	0.30394	0.30606	0.31602	0.31928	0.32392	0.3336	0.34614	0.36046	0.3693	0.38136	0.40924	0.42808	0.44896	0.46454	0.48358	0.5027	0.51982	0.54388	0.5693	0.60356	0.64628	0.7009	0.76694	0.82966	0.8684	0.9017	0.92744	0.94692	0.9727	0.99866		E8	
0.28072	0.27686	0.27772	0.27806	0.27788	0.27582	0.27734	0.27812	0.27896	0.2794	0.27938	0.28468	0.28382	0.28864	0.29538	0.3048	0.31296	0.3207	0.33452	0.3469	0.36526	0.38534	0.40354	0.42544	0.44034	0.46242	0.4831	0.5033	0.5294	0.56452	0.6096	0.67032	0.73192	0.79704	0.86318	0.91276	0.95508	1.0061	1.0547	1.0865	1.1045	1.1271	1.1474	1.1665	1.2005	1.2245		E9	
0.2947	0.293	0.29232	0.2901	0.28904	0.28838	0.29058	0.2899	0.28966	0.29166	0.2881	0.29272	0.29208	0.29128	0.29536	0.29476	0.29724	0.298	0.30352	0.30352	0.30776	0.30966	0.31316	0.31752	0.31872	0.32412	0.3275	0.33292	0.34062	0.34962	0.35998	0.37048	0.38042	0.39444	0.40844	0.42304	0.43716	0.45554	0.47634	0.49604	0.53566	0.55054	0.57654	0.60118	0.62196	0.64616		E10	
0.29282	0.2945	0.29158	0.29154	0.29246	0.2924	0.2917	0.29194	0.29308	0.294	0.29364	0.29628	0.29922	0.30322	0.30852	0.31472	0.32112	0.3303	0.3388	0.35268	0.36908	0.38856	0.4083	0.429	0.44696	0.47104	0.48862	0.50568	0.5312	0.564	0.60706	0.66764	0.73622	0.79836	0.8432	0.87214	0.89302	0.91846	0.93284	0.93624	0.93542	0.93344	0.93962	0.94806	0.96964	0.97866		E11	
0.30544	0.30416	0.30288	0.30536	0.30096	0.30094	0.3052	0.30188	0.30334	0.30336	0.3055	0.3092	0.3145	0.31782	0.32872	0.3453	0.366	0.38956	0.42662	0.46	0.49614	0.52524	0.54278	0.55918	0.59248	0.64364	0.70712	0.77	0.83532	0.89452	0.93344	0.95506	0.99694	1.0116	1.0354	1.0385	1.0508	1.0849	1.1523	1.1593	1.1555	1.168	1.1848	1.2024	1.2297	1.2715		E12	
0.26636	0.26552	0.2637	0.26588	0.26678	0.26572	0.26422	0.26566	0.26456	0.26606	0.26932	0.26892	0.26808	0.27054	0.27434	0.27652	0.2822	0.29198	0.30158	0.31694	0.33384	0.3478	0.35958	0.3707	0.37656	0.39066	0.40034	0.40972	0.41664	0.42314	0.43988	0.45218	0.46896	0.48554	0.50338	0.5241	0.54558	0.56152	0.5814	0.60426	0.6304	0.65394	0.68328	0.71	0.75246	0.78684		F1	
0.25132	0.25334	0.25438	0.25428	0.2542	0.25202	0.2524	0.2548	0.25352	0.25644	0.25664	0.26	0.26272	0.265	0.26984	0.27664	0.28942	0.29982	0.32194	0.3503	0.38268	0.40272	0.46874	0.5116	0.55338	0.6029	0.65212	0.70114	0.78498	0.87304	0.94352	0.99102	1.0361	1.0688	1.0995	1.1227	1.1462	1.1833	1.2105	1.2276	1.2372	1.2438	1.2578	1.27	1.2849	1.2992		F2	
0.25198	0.25342	0.25156	0.25194	0.25412	0.25158	0.25432	0.25374	0.25528	0.25788	0.25872	0.2616	0.26678	0.2726	0.28592	0.30242	0.32482	0.35434	0.3794	0.40546	0.41458	0.4498	0.48422	0.52196	0.56772	0.59488	0.6474	0.73624	0.77444	0.78216	0.83476	0.83828	0.90152	0.92608	0.96944	0.9697	1.0009	1.0206	1.0498	1.0576	1.0609	1.0431	1.0934	1.0691	1.0927	1.0636		F3	
0.26928	0.26964	0.26798	0.26936	0.26666	0.26626	0.26766	0.26754	0.26696	0.26774	0.2672	0.26704	0.26854	0.26624	0.26754	0.26874	0.2679	0.26884	0.27028	0.27388	0.27886	0.27874	0.27952	0.2834	0.2904	0.28748	0.28972	0.29344	0.34456	0.36368	0.41048	0.45778	0.50066	0.542	0.57396	0.607	0.63838	0.67918	0.74406	0.80258	0.8696	0.92246	0.96558	0.99818	1.0423	1.0796		F4	
0.26978	0.26972	0.2682	0.26984	0.26908	0.26926	0.2691	0.27098	0.27112	0.27222	0.27268	0.27328	0.27608	0.28098	0.2909	0.29942	0.3145	0.32866	0.34742	0.37154	0.40184	0.43496	0.45794	0.46934	0.48462	0.50958	0.54034	0.57926	0.63102	0.69778	0.73458	0.78646	0.83026	0.87104	0.89146	0.927	0.93984	0.95646	0.97634	0.99864	1.0392	1.0709	1.0885	1.1011	1.1207	1.1412		F5	
0.27684	0.27644	0.27748	0.27922	0.27492	0.2747	0.27592	0.27754	0.27894	0.27686	0.27818	0.2813	0.28318	0.28202	0.28716	0.28938	0.29712	0.30828	0.31896	0.33	0.347	0.3614	0.39272	0.42166	0.44066	0.47088	0.49812	0.52008	0.53694	0.55802	0.58396	0.61394	0.65576	0.6848	0.71814	0.73774	0.76056	0.80514	0.84194	0.85612	0.85396	0.87122	0.89734	0.91746	1.0047	1.0372		F6	
0.2818	0.28354	0.28204	0.28302	0.28278	0.28094	0.28508	0.28394	0.28836	0.29362	0.29602	0.30074	0.30826	0.31198	0.3205	0.33764	0.36884	0.40284	0.43694	0.46066	0.49016	0.54358	0.58574	0.64086	0.68554	0.7638	0.80994	0.86932	0.91228	0.94466	0.96468	0.99882	1.0273	1.043	1.0701	1.1019	1.1253	1.1333	1.1498	1.1675	1.1733	1.1923	1.2026	1.2096	1.2142	1.2209		F7	
0.26206	0.26244	0.26024	0.26302	0.26026	0.26114	0.26294	0.26046	0.2614	0.26226	0.26362	0.26446	0.26798	0.26618	0.2693	0.26992	0.27706	0.2828	0.28768	0.29692	0.30346	0.3099	0.32008	0.33562	0.34806	0.36756	0.38192	0.3964	0.41438	0.42708	0.44348	0.45486	0.47302	0.48666	0.50664	0.53192	0.56086	0.59604	0.63582	0.68764	0.73664	0.78524	0.82164	0.84924	0.88872	0.92326		F8	
0.26804	0.26774	0.26624	0.26934	0.26726	0.26732	0.26536	0.26838	0.27006	0.26842	0.26998	0.26966	0.27262	0.27236	0.2797	0.2812	0.28938	0.2989	0.30786	0.31888	0.33474	0.35474	0.37196	0.39122	0.41286	0.44102	0.47216	0.50404	0.53064	0.56248	0.58192	0.61456	0.6561	0.70494	0.7647	0.83196	0.89062	0.94808	0.9967	1.039	1.0743	1.1051	1.1321	1.1549	1.178	1.1985		F9	
0.26898	0.26716	0.26722	0.26856	0.26698	0.26608	0.26598	0.26822	0.26876	0.26652	0.2678	0.2697	0.27028	0.26942	0.27054	0.26864	0.27202	0.2738	0.27642	0.27574	0.27838	0.2799	0.28938	0.29514	0.30218	0.2976	0.30188	0.30888	0.31754	0.3281	0.33546	0.34572	0.36154	0.36976	0.38638	0.40426	0.4246	0.44132	0.46718	0.49318	0.51962	0.54978	0.5773	0.61238	0.63274	0.66528		F10	
0.29926	0.29784	0.2976	0.29812	0.29786	0.29544	0.2957	0.29638	0.29836	0.29772	0.29938	0.30052	0.30194	0.30078	0.30586	0.31166	0.31368	0.32364	0.33304	0.34172	0.35428	0.37102	0.3902	0.40736	0.42916	0.45962	0.48866	0.52282	0.55306	0.57928	0.60202	0.6447	0.69622	0.74926	0.80126	0.8398	0.86572	0.8949	0.89176	0.9013	0.90414	0.90798	0.9141	0.91358	0.9177	0.92652		F11	
0.29222	0.2893	0.28798	0.28892	0.28666	0.2885	0.28818	0.28672	0.28758	0.28888	0.29112	0.29268	0.29724	0.30092	0.30892	0.3219	0.34088	0.36172	0.39234	0.42982	0.46788	0.50216	0.52916	0.5469	0.55906	0.60232	0.65554	0.7142	0.7784	0.84118	0.87538	0.91	0.95352	0.96344	0.98824	0.99078	1.0082	1.0451	1.0977	1.1119	1.1107	1.1251	1.1465	1.168	1.192	1.2276		F12	
0.26602	0.26444	0.26174	0.26496	0.26442	0.26332	0.26254	0.2617	0.26392	0.26336	0.2663	0.26486	0.268	0.27008	0.27098	0.27448	0.283	0.28616	0.2978	0.3062	0.32632	0.34048	0.35594	0.36926	0.37544	0.3876	0.40052	0.40574	0.4141	0.42396	0.44808	0.46574	0.48156	0.50614	0.5319	0.56102	0.57348	0.59204	0.61468	0.63422	0.64942	0.6747	0.70932	0.74142	0.7768	0.8046		G1	
0.24704	0.24638	0.2461	0.24674	0.24686	0.2461	0.24448	0.247	0.24658	0.24772	0.24774	0.24944	0.25428	0.25556	0.2601	0.26462	0.2783	0.29304	0.30326	0.31862	0.35144	0.38206	0.4133	0.46968	0.5128	0.56338	0.61136	0.66	0.7015	0.78006	0.85238	0.90594	0.95382	0.99264	1.0243	1.0452	1.0699	1.1058	1.1371	1.156	1.1693	1.1835	1.1951	1.2068	1.2272	1.2409		G2	
0.25776	0.25712	0.25692	0.2562	0.25794	0.25688	0.25838	0.26006	0.26044	0.26206	0.26634	0.268	0.2763	0.28522	0.3021	0.32106	0.34822	0.37854	0.40128	0.42606	0.4294	0.48918	0.51524	0.56672	0.60368	0.65694	0.71602	0.7278	0.75354	0.81356	0.85854	0.9025	0.93038	0.98866	0.98248	0.99482	0.99312	1.0365	1.0466	1.0562	1.0533	1.1065	1.1523	1.176	1.1816	1.1703		G3	
0.28	0.28058	0.27812	0.27912	0.27776	0.2779	0.27748	0.27736	0.27664	0.27686	0.27854	0.2762	0.27918	0.27756	0.279	0.27668	0.28208	0.28462	0.2885	0.29032	0.28874	0.29808	0.28836	0.29936	0.29908	0.30458	0.33172	0.3535	0.4036	0.4552	0.49756	0.53236	0.56724	0.59884	0.63854	0.6829	0.7394	0.79694	0.85814	0.9159	0.95408	0.98294	1.0042	1.0218	1.0637	1.0892		G4	
0.27506	0.27296	0.27146	0.27496	0.27398	0.27436	0.2744	0.27598	0.27512	0.2759	0.27786	0.2813	0.28418	0.28936	0.29768	0.30482	0.32076	0.33632	0.35796	0.38116	0.41494	0.44518	0.46456	0.47232	0.48762	0.51406	0.55704	0.61384	0.67292	0.7382	0.7793	0.81032	0.84292	0.88158	0.91512	0.94744	0.96546	0.98378	1.0189	1.0364	1.0754	1.0946	1.1133	1.1292	1.1471	1.1699		G5	
0.2494	0.24852	0.24792	0.24934	0.24766	0.2497	0.24746	0.25062	0.24846	0.25024	0.25012	0.25002	0.25298	0.25276	0.25644	0.25886	0.26636	0.27652	0.28446	0.29688	0.30848	0.32798	0.34568	0.37846	0.39896	0.43058	0.45618	0.48046	0.50396	0.52516	0.54738	0.5848	0.63306	0.68526	0.74104	0.77548	0.80716	0.86196	0.92424	0.95394	0.97108	0.9972	1.0239	1.0509	1.1163	1.1692		G6	
0.29478	0.29576	0.2941	0.29368	0.29732	0.29478	0.29696	0.29902	0.29958	0.30336	0.3061	0.31164	0.3184	0.32284	0.33002	0.34692	0.37832	0.41648	0.44404	0.45766	0.49004	0.562	0.5924	0.64962	0.71282	0.77974	0.8313	0.8884	0.92602	0.95808	0.98936	1.0174	1.0436	1.0691	1.0949	1.1114	1.1398	1.1694	1.1861	1.2048	1.2187	1.2341	1.2378	1.2511	1.2443	1.2526		G7	
0.26088	0.25958	0.25896	0.25846	0.2591	0.25858	0.26098	0.26074	0.2597	0.26084	0.26108	0.26214	0.26396	0.26452	0.26792	0.27114	0.27832	0.28424	0.28812	0.29556	0.30252	0.31348	0.32766	0.34236	0.35676	0.37236	0.3892	0.40784	0.42514	0.43586	0.45382	0.47226	0.48716	0.51016	0.53654	0.57306	0.61442	0.66232	0.72274	0.77802	0.81956	0.85862	0.88626	0.9062	0.93388	0.95414		G8	
0.29258	0.2911	0.29048	0.29224	0.29058	0.291	0.29192	0.29478	0.29366	0.29438	0.29564	0.29658	0.2967	0.30156	0.30674	0.31428	0.32182	0.3295	0.34268	0.35578	0.37212	0.39222	0.41236	0.4344	0.45656	0.48102	0.5049	0.52402	0.5481	0.5742	0.6168	0.66728	0.72866	0.79478	0.86038	0.90492	0.95018	1.0093	1.0579	1.0905	1.1053	1.1257	1.1535	1.1666	1.2038	1.2297		G9	
0.31088	0.3076	0.30834	0.30612	0.30722	0.30718	0.30742	0.3099	0.3065	0.30828	0.30696	0.308	0.30628	0.30606	0.31008	0.31302	0.31386	0.3134	0.31748	0.32296	0.32238	0.32676	0.3292	0.33528	0.33634	0.34138	0.34616	0.34958	0.35902	0.36708	0.379	0.38466	0.4005	0.41298	0.42652	0.44028	0.45986	0.47976	0.4974	0.5234	0.54416	0.5727	0.59716	0.62622	0.6597	0.68242		G10	
0.28824	0.2865	0.28468	0.2843	0.28598	0.28362	0.28632	0.28786	0.287	0.28786	0.28776	0.28858	0.2913	0.29498	0.29886	0.30466	0.31248	0.31964	0.33056	0.34418	0.3597	0.3805	0.39892	0.41994	0.4462	0.4768	0.51406	0.54076	0.57428	0.60596	0.63116	0.67188	0.71616	0.75414	0.79628	0.80994	0.83502	0.84148	0.85018	0.85834	0.86822	0.87542	0.88414	0.8911	0.8934	0.89294		G11	
0.28022	0.2792	0.2802	0.27946	0.27934	0.27728	0.27906	0.27936	0.27824	0.28014	0.28086	0.28408	0.28984	0.29146	0.30178	0.31316	0.3348	0.35562	0.39008	0.42746	0.4688	0.49808	0.52154	0.53562	0.56264	0.60346	0.6638	0.73064	0.80022	0.86196	0.90606	0.93726	0.99144	1.0109	1.0487	1.0416	1.0544	1.093	1.1558	1.1784	1.1765	1.1819	1.2018	1.2257	1.2458	1.2733		G12	
0.27004	0.27024	0.26938	0.27012	0.26918	0.26828	0.26916	0.26972	0.27004	0.26874	0.2721	0.27254	0.2748	0.27786	0.27908	0.28052	0.28768	0.29466	0.3036	0.3117	0.33252	0.3469	0.365	0.37456	0.38422	0.39454	0.40452	0.41326	0.42092	0.42706	0.44464	0.4582	0.46556	0.4822	0.50008	0.53316	0.5489	0.55806	0.5792	0.60102	0.62384	0.64552	0.67378	0.69964	0.7336	0.7644		H1	
0.27744	0.27936	0.2772	0.27806	0.27812	0.27634	0.27862	0.27932	0.27668	0.27824	0.27736	0.28178	0.28498	0.28652	0.2912	0.29432	0.30054	0.32028	0.3373	0.3552	0.38282	0.42088	0.4377	0.49154	0.53632	0.59006	0.64416	0.69648	0.75148	0.82356	0.916	0.97938	1.0281	1.0664	1.0994	1.1306	1.1518	1.183	1.2093	1.229	1.2454	1.2585	1.2691	1.2828	1.3008	1.3109		H2	
0.271	0.27052	0.26942	0.26758	0.2692	0.269	0.2716	0.27062	0.2727	0.27456	0.27696	0.28124	0.2888	0.29662	0.31044	0.3328	0.3582	0.3857	0.40784	0.41162	0.43742	0.4634	0.51132	0.55416	0.5557	0.65448	0.71428	0.75872	0.79344	0.86868	0.91924	0.91554	0.91322	0.90954	0.83818	0.84414	0.85686	0.89318	0.85882	0.90364	0.90116	0.94776	1.0561	1.0812	1.1174	1.1249		H3	
0.26182	0.26204	0.26058	0.25944	0.25996	0.25722	0.2598	0.2589	0.2605	0.2582	0.25822	0.25882	0.25936	0.25902	0.26086	0.26004	0.2615	0.2648	0.2727	0.27354	0.28006	0.29318	0.29224	0.28082	0.29008	0.2962	0.33888	0.38826	0.41524	0.46454	0.50148	0.5443	0.57212	0.6114	0.66264	0.7112	0.76908	0.83878	0.90632	0.96252	1.0034	1.0366	1.0611	1.0821	1.1257	1.1585		H4	
0.2954	0.29462	0.29206	0.2912	0.29546	0.29132	0.2943	0.2925	0.2927	0.2946	0.29568	0.29692	0.3001	0.3049	0.31034	0.31926	0.3338	0.34972	0.372	0.39936	0.42748	0.45312	0.46484	0.48412	0.50602	0.55162	0.61106	0.69114	0.77804	0.84946	0.9004	0.94262	0.9894	1.0128	1.0385	1.057	1.0731	1.1102	1.1272	1.1493	1.1568	1.1721	1.1927	1.2073	1.2289	1.2502		H5	
0.27114	0.27178	0.26928	0.27096	0.2692	0.26996	0.26928	0.27126	0.27026	0.27096	0.27274	0.27402	0.27762	0.27834	0.28238	0.28472	0.29512	0.30524	0.31838	0.33212	0.34818	0.37526	0.40146	0.42682	0.4507	0.48184	0.50626	0.52562	0.54402	0.57774	0.61684	0.66032	0.72496	0.76208	0.8065	0.83794	0.85736	0.9179	0.9791	1.0069	1.0176	1.0393	1.0737	1.1074	1.1747	1.2197		H6	
0.26676	0.26856	0.26576	0.26678	0.26688	0.2667	0.26994	0.26986	0.27098	0.27508	0.27996	0.28362	0.29242	0.29862	0.30534	0.31986	0.34592	0.38408	0.41458	0.43276	0.4611	0.5131	0.55726	0.60682	0.6746	0.72086	0.79218	0.85026	0.8879	0.92578	0.94934	0.98288	1.0095	1.036	1.0641	1.0848	1.116	1.1388	1.1524	1.1691	1.1725	1.1871	1.1879	1.2053	1.2166	1.2277		H7	
0.29816	0.30064	0.29492	0.29324	0.29418	0.2935	0.29446	0.29376	0.29328	0.29568	0.29528	0.29712	0.29712	0.29778	0.30002	0.30396	0.30928	0.3155	0.31998	0.3279	0.33136	0.33762	0.35098	0.36508	0.38026	0.39958	0.4127	0.43046	0.44888	0.46432	0.4797	0.503	0.5226	0.55216	0.59086	0.64248	0.69994	0.76914	0.84282	0.89624	0.92882	0.95784	0.98266	1.0004	1.0209	1.0389		H8	
0.2682	0.2682	0.26508	0.26654	0.26656	0.26654	0.2674	0.26864	0.2683	0.26716	0.2702	0.27084	0.27224	0.27404	0.27932	0.28588	0.29526	0.30108	0.3147	0.32452	0.34106	0.36096	0.37886	0.40252	0.42776	0.46272	0.49124	0.52554	0.55684	0.5888	0.62486	0.66404	0.70542	0.7563	0.81524	0.87082	0.92166	0.9699	1.0164	1.0587	1.0894	1.1189	1.1425	1.161	1.1829	1.203		H9	
0.27384	0.27294	0.2718	0.27142	0.27038	0.27132	0.27312	0.27224	0.27208	0.2712	0.27112	0.27316	0.27264	0.27286	0.2763	0.27546	0.27914	0.27966	0.28224	0.28362	0.28978	0.29118	0.29304	0.2974	0.29996	0.30686	0.3096	0.3191	0.32704	0.33528	0.34606	0.35478	0.3673	0.37788	0.3928	0.40744	0.42134	0.43568	0.45412	0.4719	0.49774	0.51954	0.5449	0.56868	0.59536	0.619		H10	
0.2847	0.28402	0.28442	0.282	0.2845	0.27908	0.28472	0.28364	0.28404	0.28496	0.2845	0.28484	0.28646	0.29184	0.2937	0.29834	0.30276	0.31222	0.31836	0.33076	0.34326	0.3628	0.3827	0.40676	0.42986	0.45112	0.47208	0.49684	0.52426	0.5549	0.59692	0.65076	0.71808	0.77198	0.83172	0.86734	0.89782	0.91306	0.9116	0.90968	0.91748	0.9235	0.92476	0.93242	0.9429	0.94958		H11	
0.27226	0.27146	0.27006	0.27052	0.27126	0.2702	0.27108	0.27106	0.2716	0.27474	0.27348	0.27768	0.28056	0.28726	0.2933	0.30536	0.32296	0.34364	0.37938	0.42112	0.46538	0.49488	0.52528	0.53322	0.56954	0.61368	0.67402	0.74572	0.81678	0.8783	0.92246	0.95904	1.0117	1.032	1.066	1.0611	1.0766	1.1181	1.1799	1.1975	1.1921	1.196	1.2133	1.2389	1.26	1.2896		H12	
