<>	1	2	3	4	5	6	7	8	9	10	11	12	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.28212	0.28062	0.24574	0.29	0.10704	0.1101	0.10598	0.10776	0.10678	0.10792	0.1068	0.10516	
B	0.27238	0.2897	0.26638	0.29076	0.10808	0.10732	0.1088	0.10834	0.10686	0.1104	0.10448	0.10694	
C	0.26478	0.28156	0.25996	0.294	0.1091	0.10988	0.10686	0.10646	0.10752	0.11274	0.10606	0.10858	
D	0.27756	0.28614	0.2803	0.29966	0.10858	0.10796	0.10472	0.10688	0.10522	0.11106	0.10612	0.10486	
E	0.2904	0.24534	0.28786	0.2465	0.10712	0.108	0.10794	0.10746	0.10698	0.10822	0.10918	0.10492	
F	0.28324	0.24664	0.27494	0.25726	0.11008	0.10958	0.10668	0.10734	0.10612	0.11138	0.10712	0.10552	
G	0.28488	0.27886	0.2986	0.27736	0.12018	0.11564	0.11642	0.12158	0.11288	0.10938	0.10828	0.10498	
H	0.29026	0.2663	0.26314	0.29074	0.10562	0.10974	0.10588	0.107	0.10748	0.11066	0.10808	0.10826	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.29134	0.28742	0.25406	0.30034	0.10704	0.10998	0.10578	0.10774	0.10682	0.10808	0.10678	0.10516	
B	0.27552	0.29048	0.27218	0.29438	0.10784	0.10706	0.10868	0.1082	0.10656	0.11014	0.10436	0.10682	
C	0.27128	0.28884	0.26938	0.29616	0.10896	0.10982	0.10674	0.10622	0.10738	0.11262	0.10604	0.10856	
D	0.28654	0.29282	0.2853	0.30604	0.10836	0.10796	0.10472	0.1068	0.10516	0.11088	0.10604	0.10502	
E	0.29558	0.24908	0.29126	0.25116	0.10694	0.10794	0.10762	0.10732	0.10684	0.10814	0.10908	0.10494	
F	0.28914	0.25266	0.28094	0.26018	0.11006	0.10954	0.10668	0.10728	0.1063	0.11134	0.10718	0.10554	
G	0.2876	0.2814	0.30064	0.27946	0.11998	0.1154	0.11612	0.12126	0.11246	0.10918	0.10796	0.10472	
H	0.29388	0.27102	0.26774	0.29208	0.10542	0.10942	0.10578	0.10694	0.10724	0.11054	0.10812	0.1082	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.2975	0.29832	0.26354	0.30912	0.107	0.10986	0.10578	0.10766	0.10678	0.10784	0.10674	0.10502	
B	0.2848	0.30096	0.28134	0.30378	0.10786	0.10702	0.10852	0.10798	0.10656	0.11	0.10434	0.10684	
C	0.27954	0.29606	0.2775	0.3056	0.10878	0.10976	0.10664	0.1062	0.10704	0.11224	0.10578	0.10862	
D	0.297	0.30946	0.2948	0.31428	0.10834	0.1077	0.10444	0.10672	0.10508	0.11082	0.10594	0.10492	
E	0.30096	0.25438	0.29738	0.2574	0.1068	0.10748	0.10752	0.10704	0.10672	0.10796	0.10888	0.1046	
F	0.29266	0.25492	0.2834	0.26948	0.10978	0.10934	0.10642	0.10716	0.10596	0.1111	0.1069	0.10546	
G	0.29142	0.28618	0.3077	0.28566	0.11958	0.11514	0.11612	0.12108	0.1123	0.10878	0.10774	0.10468	
H	0.29694	0.27568	0.27286	0.2992	0.10534	0.10926	0.10562	0.10684	0.10712	0.11028	0.1079	0.10808	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.31034	0.3065	0.27558	0.31744	0.10696	0.10996	0.10582	0.10758	0.10676	0.10794	0.10684	0.10504	
B	0.29766	0.31096	0.2922	0.31432	0.10794	0.10732	0.10866	0.10818	0.10664	0.11008	0.10446	0.1069	
C	0.29056	0.30564	0.28686	0.31288	0.1089	0.1097	0.10678	0.1063	0.10718	0.11244	0.10594	0.1086	
D	0.30724	0.3138	0.30374	0.31854	0.10852	0.10786	0.1046	0.10688	0.10526	0.1109	0.10612	0.10488	
E	0.30882	0.2609	0.30084	0.2635	0.10716	0.10782	0.1077	0.1074	0.10684	0.10818	0.1091	0.10482	
F	0.30116	0.26242	0.29114	0.2756	0.11016	0.10942	0.1067	0.1073	0.10626	0.11136	0.10714	0.10556	
G	0.29976	0.29152	0.31214	0.28992	0.11996	0.11536	0.11618	0.1212	0.11254	0.10902	0.10794	0.10478	
H	0.30496	0.28326	0.28026	0.30634	0.10564	0.1095	0.10574	0.1071	0.10736	0.1103	0.10796	0.10812	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.32456	0.32324	0.28922	0.3323	0.107	0.11022	0.10598	0.1077	0.10664	0.10814	0.10676	0.10522	
B	0.31106	0.32344	0.30466	0.32646	0.10814	0.10718	0.10864	0.10818	0.10646	0.1099	0.10448	0.10692	
C	0.30634	0.31996	0.30058	0.32506	0.10878	0.10966	0.10686	0.10634	0.10736	0.11248	0.10592	0.1087	
D	0.32074	0.33064	0.3222	0.33752	0.10864	0.108	0.10452	0.10684	0.1055	0.11106	0.10604	0.1051	
E	0.31622	0.26956	0.30978	0.27196	0.10702	0.10768	0.10756	0.10738	0.10692	0.10814	0.10906	0.1048	
F	0.306	0.27122	0.29678	0.28294	0.10998	0.10948	0.10658	0.10736	0.1061	0.1113	0.1071	0.10562	
G	0.30582	0.29766	0.31742	0.29606	0.11976	0.11524	0.11596	0.12086	0.11234	0.10898	0.10772	0.10468	
H	0.3128	0.29136	0.28784	0.3152	0.10546	0.1095	0.10574	0.10702	0.10736	0.1104	0.10806	0.1081	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.34276	0.33812	0.30808	0.35308	0.107	0.10998	0.10584	0.10754	0.10662	0.10772	0.10652	0.10496	
B	0.32898	0.34172	0.32286	0.34422	0.1077	0.10706	0.10864	0.10816	0.10664	0.10994	0.10446	0.1068	
C	0.32334	0.33724	0.3198	0.34938	0.10876	0.10984	0.1065	0.10588	0.10694	0.11212	0.10586	0.10844	
D	0.339	0.34212	0.33512	0.3492	0.10844	0.10768	0.10418	0.10662	0.10504	0.1107	0.10576	0.10482	
E	0.32624	0.2796	0.3186	0.28128	0.10686	0.10734	0.10744	0.10698	0.10662	0.10776	0.10876	0.10458	
F	0.31682	0.27812	0.30474	0.29166	0.1097	0.10898	0.10612	0.10688	0.10584	0.11076	0.1068	0.10514	
G	0.31416	0.30582	0.32624	0.30576	0.1194	0.11482	0.11582	0.12076	0.11232	0.1087	0.10772	0.10442	
H	0.32164	0.30026	0.29864	0.32328	0.10538	0.1092	0.10546	0.10672	0.10716	0.10996	0.10772	0.10784	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.36286	0.35806	0.32828	0.37216	0.10676	0.10982	0.1058	0.1075	0.10668	0.10788	0.10662	0.105	
B	0.34706	0.3641	0.34424	0.3641	0.10788	0.10696	0.1085	0.10812	0.10658	0.10972	0.10428	0.10682	
C	0.34574	0.36244	0.34262	0.36604	0.10888	0.11002	0.10664	0.10596	0.10712	0.11214	0.1058	0.10834	
D	0.35774	0.35996	0.35458	0.37032	0.1083	0.10752	0.10408	0.1064	0.10506	0.11072	0.10582	0.10494	
E	0.3356	0.2885	0.32714	0.29256	0.10678	0.1074	0.10738	0.10702	0.10678	0.10792	0.10882	0.10466	
F	0.32698	0.2882	0.3157	0.30282	0.10986	0.10918	0.1064	0.10704	0.10606	0.11124	0.10696	0.1054	
G	0.32314	0.31646	0.33578	0.31594	0.11966	0.1151	0.11586	0.12092	0.11254	0.10868	0.10776	0.10444	
H	0.33164	0.3107	0.30868	0.33456	0.10526	0.10926	0.10546	0.1066	0.10706	0.1101	0.10772	0.10786	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.38496	0.3829	0.35702	0.39194	0.10676	0.10992	0.1059	0.10756	0.10656	0.10784	0.10672	0.10512	
B	0.3724	0.386	0.36696	0.38422	0.10778	0.10706	0.10854	0.10792	0.10646	0.10988	0.10432	0.10688	
C	0.36836	0.38134	0.3686	0.38934	0.10886	0.11008	0.10666	0.10606	0.1071	0.1121	0.1058	0.10828	
D	0.38428	0.38642	0.3801	0.39516	0.10836	0.10758	0.10424	0.10658	0.1052	0.11054	0.1058	0.10482	
E	0.34704	0.30058	0.33924	0.30458	0.10706	0.10744	0.10758	0.10726	0.10678	0.10798	0.10906	0.10464	
F	0.33804	0.30328	0.32816	0.31402	0.11004	0.10938	0.10656	0.10718	0.10606	0.11114	0.10696	0.10558	
G	0.3337	0.32792	0.34652	0.325	0.11972	0.11528	0.11604	0.1211	0.11278	0.10894	0.10784	0.10472	
H	0.34482	0.32376	0.32156	0.3461	0.10552	0.10936	0.10566	0.1068	0.1075	0.1103	0.10802	0.10804	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.41404	0.41532	0.38418	0.42148	0.1071	0.11012	0.10614	0.10766	0.1069	0.10798	0.10682	0.1051	
B	0.40162	0.41372	0.39828	0.41314	0.10796	0.10722	0.10882	0.10822	0.10676	0.11008	0.10454	0.1069	
C	0.39348	0.40916	0.39626	0.41776	0.10886	0.11022	0.10688	0.10612	0.10708	0.11224	0.106	0.10852	
D	0.4107	0.41384	0.4068	0.42408	0.10874	0.10786	0.10436	0.1069	0.10536	0.1111	0.10618	0.10498	
E	0.3632	0.31768	0.35578	0.32264	0.10724	0.10782	0.10786	0.10764	0.10708	0.10832	0.10938	0.10498	
F	0.35426	0.31738	0.34004	0.32806	0.11028	0.1096	0.10666	0.10748	0.10624	0.11148	0.10724	0.10566	
G	0.34958	0.33962	0.35946	0.33932	0.1197	0.1155	0.11594	0.121	0.11274	0.10912	0.10772	0.10482	
H	0.36128	0.34016	0.33728	0.36348	0.10572	0.10948	0.106	0.10706	0.10758	0.1105	0.10808	0.10824	
<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	0.44742	0.45	0.4207	0.45752	0.10708	0.11028	0.10618	0.10784	0.10684	0.10816	0.10702	0.10538	
B	0.43096	0.44558	0.43532	0.44412	0.10838	0.10742	0.10898	0.1085	0.1069	0.11044	0.10492	0.10712	
C	0.43374	0.4402	0.42622	0.4449	0.1092	0.11042	0.10708	0.1064	0.1072	0.11248	0.1063	0.10874	
D	0.44024	0.44956	0.43456	0.46052	0.10888	0.10804	0.10452	0.10692	0.10554	0.11114	0.10644	0.10532	
